type,name,x1,y1,x2,y2,xp,yp,x,y,w,h
redzone,shortcut,-3840,0,3840,180,0,0,-3840.0,0.0,7680.0,180.0
redzone,temp,0,0,70,2160,0,0,0.0,0.0,70.0,2160.0
redzone,taskbar,-3840,2110,3840,2160,0,0,-3840.0,2110.0,7680.0,50.0
frame,Sub Monitor,-3840,0,0,2160,0,0,-3840.0,0.0,3840.0,2160.0
frame,Main Monitor,0,0,3840,2160,0,0,0.0,0.0,3840.0,2160.0
window,Notion,70,180,960,2110,5,5,75.0,185.0,885.0,1925.0
window,VScode,960,180,3840,2110,5,5,965.0,185.0,2875.0,1925.0
window,ChatGPT,-960,180,0,2110,5,5,-955.0,185.0,955.0,1925.0
window,Chrome,-2880,180,-960,2110,5,5,-2875.0,185.0,1915.0,1925.0
