type,name,x1,y1,x2,y2,xp,yp,x,y,w,h
redzone,shortcut,-3840,0,3840,180,0,0,-3840,0,7680,180
redzone,temp,0,0,70,2160,0,0,0,0,70,2160
redzone,taskbar,-3840,2110,3840,2160,0,0,-3840,2110,7680,50
frame,Sub Monitor,-3840,0,0,2160,0,0,-3840,0,3840,2160
frame,Main Monitor,0,0,3840,2160,0,0,0,0,3840,2160
